,Neutral,Happy,Sad,Surprise,Fear,Disgust,Anger,Contempt,accuracy,macro avg,weighted avg
precision,0.6380142204164551,0.9388380941563973,0.31365381100347284,0.25126017836370684,0.1759572072072072,0.10043668122270742,0.39593908629441626,0.04631092743405859,0.48970120456797206,0.35755127576230267,0.6867060735051057
recall,0.33772430942939713,0.6104874446085672,0.3403411344704482,0.4636851520572451,0.4948535233570863,0.5390625,0.43811434302908725,0.5299026425591099,0.48970120456797206,0.46927138118886763,0.48970120456797206
f1-score,0.4416611733684905,0.739868871534382,0.32645296299819265,0.32591474915126367,0.25960539979231567,0.16932515337423312,0.4159603847252642,0.085177733065057,0.48970120456797206,0.34549580350114983,0.5519939136930321
support,14879.0,27080.0,5042.0,2795.0,1263.0,768.0,4985.0,719.0,0.48970120456797206,57531.0,57531.0
