,Neutral,Happy,Sad,Surprise,Fear,Disgust,Anger,Contempt,accuracy,macro avg,weighted avg
precision,0.6465422612513722,0.934950634696756,0.3247555326814205,0.23807935978659553,0.15860578222102134,0.07904040404040404,0.35923701872129987,0.04098805646036916,0.4839304027393927,0.3477748812324048,0.6820158388740369
recall,0.31539491298527444,0.6151447661469933,0.3725644558157843,0.49738766980146293,0.4525828835774865,0.410761154855643,0.4151020408163265,0.4081081081081081,0.4839304027393927,0.4358807490133849,0.4839304027393927
f1-score,0.42396976786035634,0.7420575394604277,0.34702108157653533,0.32202052091554856,0.2348939575830332,0.132570944515036,0.3851543268320393,0.07449432659102122,0.4839304027393927,0.3327728081667497,0.5451136257286778
support,14940.0,26940.0,5081.0,2871.0,1297.0,762.0,4900.0,740.0,0.4839304027393927,57531.0,57531.0
