,Neutral,Happy,Sad,Surprise,Fear,Disgust,Anger,Contempt,accuracy,macro avg,weighted avg
precision,0.6980840543881335,0.9345707429355012,0.437109375,0.32821637426900585,0.257132667617689,0.09795530194959581,0.5088702147525677,0.0534417659018298,0.5757939197997601,0.41442256210179035,0.7231895573568653
recall,0.44591393604421636,0.7188653657801553,0.43625730994152045,0.47597173144876326,0.5529141104294478,0.5698478561549101,0.4316831683168317,0.49066666666666664,0.5757939197997601,0.515265018097814,0.5757939197997601
f1-score,0.5442062153697904,0.8126477163845417,0.4366829268292683,0.3885203345832131,0.3510223953261928,0.16717386893893285,0.4671094921791301,0.0963855421686747,0.5757939197997601,0.407968561472468,0.6291022284458478
support,15198.0,26546.0,5130.0,2830.0,1304.0,723.0,5050.0,750.0,0.5757939197997601,57531.0,57531.0
