,Neutral,Happy,Sad,Surprise,Fear,Disgust,Anger,Contempt,accuracy,macro avg,weighted avg
precision,0.723387450636244,0.9606463878326996,0.5628667970834075,0.4126346925839848,0.4190560211733569,0.3501466275659824,0.5904727404455714,0.10748999428244711,0.6769220072656481,0.5158375889504617,0.7744448950570472
recall,0.5511131911479574,0.7499257940041555,0.6279761904761905,0.7020129403306974,0.7545671167593329,0.7949400798934754,0.6437598736176935,0.7768595041322314,0.6769220072656481,0.7001443362952167,0.6769220072656481
f1-score,0.6256071645415907,0.8423070511751958,0.5936415642877239,0.5197604790419161,0.5388542257515598,0.486156351791531,0.6159659896079357,0.18884982420894023,0.6769220072656481,0.5513928313007992,0.7091284833254092
support,14957.0,26952.0,5040.0,2782.0,1259.0,751.0,5064.0,726.0,0.6769220072656481,57531.0,57531.0
